Date,Aggregated_Daily_Score,Aggregated_General_Sentiment,Long_Term_Trend,Aggregated_Daily_Score_5,Aggregated_Sentiment_5,Signal_5,Aggregated_Daily_Score_15,Aggregated_Sentiment_15,Signal_15,Aggregated_Daily_Score_30,Aggregated_Sentiment_30,Signal_30,Aggregated_Daily_Score_100,Aggregated_Sentiment_100,Signal_100
2014-03-16,-0.9213321848980763,отрицательный,-1,-0.8716356107660456,отрицательный,-1,-0.9053435114503817,отрицательный,-1,-0.9060356652949245,отрицательный,-1,0.0,нейтральный,0
2014-03-17,0.04679873672121748,нейтральный,0,1.0,положительный,1,0.8106870229007634,положительный,1,0.2503429355281208,нейтральный,0,0.0,нейтральный,0
2014-03-18,0.09216192937123169,нейтральный,0,1.0,положительный,1,0.8910941475826972,положительный,1,0.30452674897119336,положительный,1,0.0,нейтральный,0
2014-03-19,0.10364628194085568,нейтральный,0,1.0,положительный,1,0.9114503816793893,положительный,1,0.3182441700960219,положительный,1,0.0,нейтральный,0
2014-03-20,-0.6296296296296295,отрицательный,-1,-0.430812324929972,отрицательный,-1,-0.3599574014909479,отрицательный,-1,-0.5576131687242798,отрицательный,-1,0.0,нейтральный,0
2014-03-21,-0.2041343669250646,нейтральный,0,0.16053249804228664,нейтральный,0,0.4291799787007453,положительный,1,-0.04938271604938271,нейтральный,0,0.0,нейтральный,0
2014-03-22,-0.9506172839506173,отрицательный,-1,-1.0,отрицательный,-1,-0.9552715654952076,отрицательный,-1,-0.9410150891632373,отрицательный,-1,0.0,нейтральный,0
2014-03-23,-0.9069767441860465,отрицательный,-1,-0.9172113289760349,отрицательный,-1,-0.8743343982960596,отрицательный,-1,-0.8888888888888888,отрицательный,-1,0.0,нейтральный,0
2014-03-24,0.3672121734137237,положительный,1,1.0,положительный,1,1.0,положительный,1,0.6330589849108366,положительный,1,0.0,нейтральный,0
2014-03-25,-0.710594315245478,отрицательный,-1,-0.6357298474945534,отрицательный,-1,-0.6063329054343176,отрицательный,-1,-0.67966573816156,отрицательный,-1,0.0,нейтральный,0
2014-03-26,0.6525983347688775,положительный,1,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0
2014-03-27,0.2684467413149585,нейтральный,0,0.5073637702503682,положительный,1,0.5278757939308398,положительный,1,0.5278757939308398,положительный,1,0.0,нейтральный,0
2014-03-28,-0.016939420040195108,нейтральный,0,0.017691659646166702,нейтральный,0,0.17713479181369074,нейтральный,0,0.17713479181369074,нейтральный,0,0.0,нейтральный,0
2014-03-29,-0.9626758541487224,отрицательный,-1,-1.0,отрицательный,-1,-0.9851799576570218,отрицательный,-1,-0.9851799576570218,отрицательный,-1,0.0,нейтральный,0
2014-03-30,-0.9362618432385874,отрицательный,-1,-0.967294703163882,отрицательный,-1,-0.967294703163882,отрицательный,-1,-0.9527170077628793,отрицательный,-1,0.0,нейтральный,0
2014-03-31,0.7571059431524547,положительный,1,1.0,положительный,1,1.0,положительный,1,1.0,положительный,1,0.0,нейтральный,0
2014-04-01,0.580246913580247,положительный,1,0.7943238731218698,положительный,1,0.7943238731218698,положительный,1,0.7957559681697615,положительный,1,0.0,нейтральный,0
2014-04-02,0.28682170542635665,нейтральный,0,0.4530884808013358,положительный,1,0.4530884808013358,положительный,1,0.4568965517241381,положительный,1,0.0,нейтральный,0
2014-04-03,-0.024404249210450812,нейтральный,0,0.07697524584604953,нейтральный,0,0.09115191986644411,нейтральный,0,0.09748010610079572,нейтральный,0,0.0,нейтральный,0
2014-04-04,0.07780648865920181,нейтральный,0,-0.7384276267450403,отрицательный,-1,0.21001669449081817,нейтральный,0,0.2155172413793105,нейтральный,0,0.0,нейтральный,0
2014-04-05,-0.9844961240310077,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,-1.0,отрицательный,-1,0.0,нейтральный,0
2014-04-06,-0.8840080390467987,отрицательный,-1,-0.8419150858175248,отрицательный,-1,-0.8846027035938016,отрицательный,-1,-0.8846027035938016,отрицательный,-1,0.0,нейтральный,0
2014-04-07,-0.2948607522250932,нейтральный,0,0.29837837837837844,нейтральный,0,-0.20804484009231783,нейтральный,0,-0.20804484009231783,нейтральный,0,0.0,нейтральный,0
2014-04-08,0.012345679012345734,нейтральный,0,0.8767567567567567,положительный,1,0.1447411803494889,нейтральный,0,0.1447411803494889,нейтральный,0,0.0,нейтральный,0
2014-04-09,0.34768877404536314,положительный,1,1.0,положительный,1,0.5298384437850314,положительный,1,0.5298384437850314,положительный,1,0.0,нейтральный,0
2014-04-10,0.22595463680734995,нейтральный,0,0.8023310023310022,положительный,1,0.3900428618529508,положительный,1,0.3900428618529508,положительный,1,0.22595463680734995,нейтральный,0
2014-04-11,-0.22825150732127464,нейтральный,0,-0.7926720285969615,отрицательный,-1,-0.13155291790306622,нейтральный,0,-0.13155291790306622,нейтральный,0,-0.22825150732127464,нейтральный,0
2014-04-12,-0.9488946310651737,отрицательный,-1,-1.0,отрицательный,-1,-0.9591163864160897,отрицательный,-1,-0.9591163864160897,отрицательный,-1,-0.9488946310651737,отрицательный,-1
2014-04-13,-0.9098478323284525,отрицательный,-1,-0.9397697077059345,отрицательный,-1,-0.9142762940982525,отрицательный,-1,-0.9142762940982525,отрицательный,-1,-0.9098478323284525,отрицательный,-1
2014-04-14,-0.06517370083261542,нейтральный,0,0.5043988269794724,положительный,1,0.05572040883613605,нейтральный,0,0.05572040883613605,нейтральный,0,-0.06517370083261542,нейтральный,0
2014-04-15,-0.021533161068044593,нейтральный,0,1.0,положительный,1,0.23082568807339476,нейтральный,0,0.1058358061325424,нейтральный,0,-0.021533161068044593,нейтральный,0
2014-04-16,0.01464254952627031,нейтральный,0,1.0,положительный,1,0.5,положительный,1,0.1473788328387735,нейтральный,0,0.01464254952627031,нейтральный,0
2014-04-17,-0.086993970714901,нейтральный,0,0.7801242236024848,положительный,1,0.3474137931034482,положительный,1,0.03066271018793265,нейтральный,0,-0.086993970714901,нейтральный,0
2014-04-18,-0.23686477174849274,нейтральный,0,-1.0,отрицательный,-1,0.12241379310344835,нейтральный,0,-0.1414441147378832,нейтральный,0,-0.23686477174849274,нейтральный,0
2014-04-19,-0.9035314384151594,отрицательный,-1,-1.0,отрицательный,-1,-0.878448275862069,отрицательный,-1,-0.9070227497527201,отрицательный,-1,-0.9035314384151594,отрицательный,-1
2014-04-20,-0.9006603502727534,отрицательный,-1,-0.9937460913070669,отрицательный,-1,-0.9255978742249779,отрицательный,-1,-0.9037256841411144,отрицательный,-1,-0.9006603502727534,отрицательный,-1
2014-04-21,-0.03416594889463098,нейтральный,0,1.0,положительный,1,0.4109831709477416,положительный,1,0.09132871744147719,нейтральный,0,-0.03416594889463098,нейтральный,0
2014-04-22,0.46310651737008324,положительный,1,1.0,положительный,1,1.0,положительный,1,0.6623804813715792,положительный,1,0.46310651737008324,положительный,1
2014-04-23,-0.0249784668389319,нейтральный,0,0.2857142857142858,нейтральный,0,0.3086620577470518,положительный,1,0.10187932739861538,нейтральный,0,-0.0249784668389319,нейтральный,0
2014-04-24,0.042204995693367664,нейтральный,0,0.38273684210526326,положительный,1,0.4038226921512811,положительный,1,0.17903066271018786,нейтральный,0,0.042204995693367664,нейтральный,0
2014-04-25,0.12718920470858452,нейтральный,0,-0.35103926096997695,отрицательный,-1,0.5241968279788534,положительный,1,0.27662380481371573,нейтральный,0,0.12718920470858452,нейтральный,0
