SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
ABIO	TQBR	iАРТГЕН ао	111.34	10	0.1	A	Т+: Акции и ДР - безадрес.	2	"ПАО ""Артген"""	None	FNDT	EQIN	None	0.02	112.12	SUR	2024-04-01	92645451	RU000A0JNAB6	ARTGEN ao	1-01-08902-A	111.34	SUR	1	2	2024-04-03
ABRD	TQBR	АбрауДюрсо	279.2	10	1.0	A	Т+: Акции и ДР - безадрес.	1	Абрау-Дюрсо ПАО ао	None	FNDT	EQIN	None	0.2	268.6	SUR	2024-04-01	98000184	RU000A0JS5T7	Abrau-Durso ao	1-02-12500-A	279.2	SUR	1	3	2024-04-03
ACKO	TQBR	АСКО ао	3.58	100	1.0	A	Т+: Акции и ДР - безадрес.	2	АСКО ПАО ао	None	FNDT	EQIN	None	0.02	3.64	SUR	2024-04-01	536000000	RU000A0JXS91	ASKO ao	1-01-52065-Z	3.58	SUR	1	3	2024-04-03
AFKS	TQBR	Система ао	24.503	100	0.09	A	Т+: Акции и ДР - безадрес.	3	"АФК ""Система"" ПАО ао"	None	FNDT	EQIN	None	0.001	23.809	SUR	2024-04-01	9650000000	RU000A0DQZE3	AFK Sistema	1-05-01669-A	23.95	SUR	1	1	2024-04-03
AFLT	TQBR	Аэрофлот	48.63	10	1.0	A	Т+: Акции и ДР - безадрес.	2	Аэрофлот-росс.авиалин(ПАО)ао	None	FNDT	EQIN	None	0.01	47.42	SUR	2024-04-01	3975771215	RU0009062285	Aeroflot	1-01-00010-A	48.3	SUR	1	1	2024-04-03
AGRO	TQBR	AGRO-гдр	1470.2	1	0.0	A	Т+: Акции и ДР - безадрес.	1	ГДР ROS AGRO PLC ORD SHS	None	FNDT	EQIN	None	0.2	1453.8	USD	2024-04-01	54827500	US7496552057	GDR ROS AGRO PLC ORD SHS	None	1467.4	SUR	D	1	2024-04-03
AKRN	TQBR	Акрон	17400.0	1	5.0	A	Т+: Акции и ДР - безадрес.	0	Акрон ПАО ао	None	FNDT	EQIN	None	2.0	17208.0	SUR	2024-04-01	36757156	RU0009028674	Acron	1-03-00207-A	17400.0	SUR	1	2	2024-04-03
ALRS	TQBR	АЛРОСА ао	78.61	10	0.5	A	Т+: Акции и ДР - безадрес.	2	АЛРОСА ПАО ао	None	FNDT	EQIN	None	0.01	78.79	SUR	2024-04-01	7364965630	RU0007252813	ALROSA ao	1-03-40046-N	79.0	SUR	1	1	2024-04-03
AMEZ	TQBR	АшинскийМЗ	69.68	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Ашинский метзавод ПАО ао	None	FNDT	EQIN	None	0.02	69.3	SUR	2024-04-01	498454822	RU000A0B88G6	Ashinckiy metzavod PAO	1-03-45219-D	69.68	SUR	1	3	2024-04-03
APTK	TQBR	Аптеки36и6	14.57	10	0.64	A	Т+: Акции и ДР - безадрес.	3	"ПАО ""Аптечная сеть 36,6"" ао"	None	FNDT	EQIN	None	0.002	14.562	SUR	2024-04-01	7630433826	RU0008081765	Apteki 36,6	1-01-07335-A	14.57	SUR	1	2	2024-04-03
AQUA	TQBR	ИНАРКТИКА	964.5	1	100.0	A	Т+: Акции и ДР - безадрес.	1	ПАО ИНАРКТИКА	None	FNDT	EQIN	None	0.5	947.0	SUR	2024-04-01	87876649	RU000A0JQTS3	INARCTIKA	1-01-04461-D	949.5	SUR	1	1	2024-04-03
ARSA	TQBR	Арсагера	13.32	100	1.0	A	Т+: Акции и ДР - безадрес.	2	УК Арсагера ПАО-ао	None	FNDT	EQIN	None	0.01	13.3	SUR	2024-04-01	123817165	RU000A0JP0Q7	UK Arsagera	1-01-03163-D	13.32	SUR	1	3	2024-04-03
ASSB	TQBR	АстрЭнСб	2.855	1000	0.007	A	Т+: Акции и ДР - безадрес.	3	"""Астраханская ЭСК"" ПАО"	None	FNDT	EQIN	None	0.005	2.865	SUR	2024-04-01	773900078	RU000A0D8MM8	Astrakhan Energo Sbyt	1-01-55064-E	2.85	SUR	1	3	2024-04-03
ASTR	TQBR	Астра ао	693.95	1	0.05	A	Т+: Акции и ДР - безадрес.	2	Группа Астра ао	None	FNDT	EQIN	None	0.05	696.95	SUR	2024-04-01	210000000	RU000A106T36	Astra Group	1-01-01286-G	680.0	SUR	1	2	2024-04-03
AVAN	TQBR	Авангрд-ао	944.0	1	10.0	A	Т+: Акции и ДР - безадрес.	0	"АКБ ""АВАНГАРД"" ПАО ао"	None	FNDT	EQIN	None	2.0	936.0	SUR	2024-04-01	80700000	RU000A0DM7B3	"AKB ""AVANGARD"""	10102879B	944.0	SUR	1	3	2024-04-03
BANE	TQBR	Башнефт ао	3189.5	1	1.0	A	Т+: Акции и ДР - безадрес.	1	Башнефть АНК ао	None	FNDT	EQIN	None	0.5	3182.5	SUR	2024-04-01	147846489	RU0007976957	Bashneft ANK ao	1-01-00013-A	3195.0	SUR	1	3	2024-04-03
BANEP	TQBR	Башнефт ап	2243.5	1	1.0	A	Т+: Акции и ДР - безадрес.	1	Башнефть АНК ап	None	FNDT	EQIN	None	0.5	2248.0	SUR	2024-04-01	29788012	RU0007976965	Bashneft ANK ap	2-01-00013-A	2256.0	SUR	2	3	2024-04-03
BELU	TQBR	НоваБев ао	5901.0	1	100.0	A	Т+: Акции и ДР - безадрес.	0	НоваБев Групп ПАО ао	None	FNDT	EQIN	None	1.0	5898.0	SUR	2024-04-01	15800000	RU000A0HL5M1	NovaBev Group ao	1-01-55052-E	5878.0	SUR	1	1	2024-04-03
BISVP	TQBR	БашИнСв ап	14.9	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Башинформсвязь(ПАО) ап	None	FNDT	EQIN	None	0.01	14.98	SUR	2024-04-01	36165270	RU0009100176	BashInformSvyaz ap	2-01-00011-A	14.9	SUR	2	3	2024-04-03
BLNG	TQBR	Белон ао	28.12	100	0.01	A	Т+: Акции и ДР - безадрес.	3	Белон ОАО ао	None	FNDT	EQIN	None	0.005	27.805	SUR	2024-04-01	1150000000	RU000A0J2QG8	Belon ao	1-06-10167-F	28.12	SUR	1	3	2024-04-03
BRZL	TQBR	БурЗолото	1609.0	1	0.025	A	Т+: Акции и ДР - безадрес.	0	Бурятзолото ПАО ао	None	FNDT	EQIN	None	1.0	1637.0	SUR	2024-04-01	7027270	RU0009288658	Buryatzoloto ao	1-06-20577-F	1609.0	SUR	1	3	2024-04-03
BSPB	TQBR	БСП ао	313.85	10	1.0	A	Т+: Акции и ДР - безадрес.	2	"ПАО ""Банк ""Санкт-Петербург"" ао"	None	FNDT	EQIN	None	0.01	313.28	SUR	2024-04-01	461879831	RU0009100945	BSP	10300436B	313.13	SUR	1	1	2024-04-03
BSPBP	TQBR	БСП ап	59.55	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Банк Санкт-Петербург ап	None	FNDT	EQIN	None	0.05	59.15	SUR	2024-04-01	20100000	RU000A0JP0U9	BSP ap	20100436B	59.55	SUR	2	3	2024-04-03
CARM	TQBR	СТГ	2.6535	100	1.0	A	Т+: Акции и ДР - безадрес.	4	СТГ ао	None	FNDT	EQIN	None	0.0005	2.6425	SUR	2024-04-01	2203330301	RU000A105NV2	STG	1-01-03536-G	2.63	SUR	1	3	2024-04-03
CBOM	TQBR	МКБ ао	7.655	100	1.0	A	Т+: Акции и ДР - безадрес.	3	"""МКБ"" ПАО ао"	None	FNDT	EQIN	None	0.001	7.669	SUR	2024-04-01	33429709866	RU000A0JUG31	MKB ao	10101978B	7.652	SUR	1	1	2024-04-03
CHGZ	TQBR	РН-ЗапСиб	152.8	10	0.1	A	Т+: Акции и ДР - безадрес.	1	РН-Западная Сибирь ПАО ао	None	FNDT	EQIN	None	0.2	149.0	SUR	2024-04-01	26771420	RU0009082291	RN-Western Siberia ao	1-01-00185-A	152.8	SUR	1	3	2024-04-03
CHKZ	TQBR	ЧКПЗ ао	25000.0	1	200.0	A	Т+: Акции и ДР - безадрес.	0	"""ЧКПЗ"" ПАО ао"	None	FNDT	EQIN	None	50.0	25400.0	SUR	2024-04-01	600216	RU000A0JNST0	CKPZ	1-03-45058-D	25000.0	SUR	1	3	2024-04-03
CHMF	TQBR	СевСт-ао	1857.4	1	0.01	A	Т+: Акции и ДР - безадрес.	1	Северсталь (ПАО)ао	None	FNDT	EQIN	None	0.2	1875.6	SUR	2024-04-01	837718660	RU0009046510	Severstal - ao	1-02-00143-A	1862.0	SUR	1	1	2024-04-03
CHMK	TQBR	ЧМК ао	8955.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	"""ЧМК"" ПАО ао"	None	FNDT	EQIN	None	5.0	8805.0	SUR	2024-04-01	3161965	RU0007665170	CMK	1-01-00080-A	8955.0	SUR	1	3	2024-04-03
CIAN	TQBR	CIAN-адр	879.0	1	0.0	A	Т+: Акции и ДР - безадрес.	1	АДР Cian PLC ORD SHS	None	FNDT	EQIN	None	0.2	872.8	SUR	2024-04-01	19603136	US83418T1088	ADR Cian PLC ORD SHS	None	879.0	SUR	D	1	2024-04-03
CNTL	TQBR	Телеграф	16.9	100	1.0	A	Т+: Акции и ДР - безадрес.	2	"""Центральный Телеграф"" ПАО ао"	None	FNDT	EQIN	None	0.02	16.86	SUR	2024-04-01	166167000	RU0007665147	Centrlnyi Telegraf	1-03-00327-A	16.9	SUR	1	3	2024-04-03
CNTLP	TQBR	Телеграф-п	11.7	100	1.0	A	Т+: Акции и ДР - безадрес.	2	"""Центральный Телеграф"" ПАО ап"	None	FNDT	EQIN	None	0.02	11.64	SUR	2024-04-01	55389000	RU0007665139	Centrlnyi Telegraf ap	2-03-00327-A	11.7	SUR	2	3	2024-04-03
DELI	TQBR	Каршеринг	320.0	1	0.000625	A	Т+: Акции и ДР - безадрес.	2	Каршеринг Руссия ао	None	FNDT	EQIN	None	0.05	318.65	SUR	2024-04-01	175849057	RU000A107J11	Carsharing Russia	1-01-16750-A	320.0	SUR	1	2	2024-04-03
DIAS	TQBR	Диасофт	6120.5	1	0.01	A	Т+: Акции и ДР - безадрес.	1	Диасофт ао	None	FNDT	EQIN	None	0.5	6145.5	SUR	2024-04-01	10500000	RU000A107ER5	Diasoft	1-01-84777-H	6120.5	SUR	1	2	2024-04-03
DIOD	TQBR	ЗаводДИОД	16.43	100	0.01	A	Т+: Акции и ДР - безадрес.	2	Завод ДИОД ПАО ао	None	FNDT	EQIN	None	0.01	16.61	SUR	2024-04-01	91500000	RU000A0JQWC1	Zavod DIOD ao	1-03-06923-A	16.43	SUR	1	3	2024-04-03
DVEC	TQBR	ДЭК ао	3.39	1000	1.0	A	Т+: Акции и ДР - безадрес.	3	"""ДЭК"" ПАО ао"	None	FNDT	EQIN	None	0.001	3.372	SUR	2024-04-01	17223107804	RU000A0JP2W1	DEC	1-01-55275-E	3.39	SUR	1	3	2024-04-03
DZRD	TQBR	ДонскЗР	5675.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Донской завод радиодеталей ао	None	FNDT	EQIN	None	5.0	5620.0	SUR	2024-04-01	343407	RU000A0JQW11	DZRD ao	1-01-02677-A	5675.0	SUR	1	3	2024-04-03
DZRDP	TQBR	ДонскЗР п	3920.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Донской завод радиодеталей ап	None	FNDT	EQIN	None	10.0	3990.0	SUR	2024-04-01	114469	RU000A0JQW29	DZRD pref.	2-01-02677-A	3920.0	SUR	2	3	2024-04-03
EELT	TQBR	ЕвроЭлтех	19.96	10	1.0	A	Т+: Акции и ДР - безадрес.	2	"""ЕвропЭлектротехника"" ПАО ао"	None	FNDT	EQIN	None	0.02	20.14	SUR	2024-04-01	551813000	RU000A0JWW54	European Eltech	1-01-83993-H	19.96	SUR	1	3	2024-04-03
ELFV	TQBR	ЭЛ5Энер ао	0.6728	1000	1.0	A	Т+: Акции и ДР - безадрес.	4	"""ЭЛ5-Энерго"" ПАО"	None	FNDT	EQIN	None	0.0002	0.663	SUR	2024-04-01	35371898370	RU000A0F5UN3	El5-Ener	1-01-50077-A	0.665	SUR	1	1	2024-04-03
ENPG	TQBR	ЭН+ГРУП ао	432.8	1	7e-05	A	Т+: Акции и ДР - безадрес.	1	МКПАО ЭН+ ГРУП ао	None	FNDT	EQIN	None	0.2	431.0	USD	2024-04-01	638848896	RU000A100K72	EN+ GROUP IPJSC ORD SHS	1-01-16625-A	431.2	SUR	1	1	2024-04-03
ETLN	TQBR	ETLN-гдр	92.9	1	0.0	A	Т+: Акции и ДР - безадрес.	2	ГДР ETALON GROUP PLC ORD SHS	None	FNDT	EQIN	None	0.02	92.6	USD	2024-04-01	292252042	US29760G1031	GDR ETALON GROUP PLC ORD SHS	None	92.9	SUR	D	1	2024-04-03
EUTR	TQBR	ЕвроТранс	241.9	1	0.05	A	Т+: Акции и ДР - безадрес.	2	ЕвроТранс ао	None	FNDT	EQIN	None	0.05	241.95	SUR	2024-04-01	159148665	RU000A1002V2	EvroTrans	1-01-80110-H	241.9	SUR	1	1	2024-04-03
FEES	TQBR	Россети	0.12046	10000	0.5	A	Т+: Акции и ДР - безадрес.	5	"""ФСК - Россети"" ПАО"	None	FNDT	EQIN	None	2e-05	0.11918	SUR	2024-04-01	2113460101477	RU000A0JPNN9	FGC ROSSETI	1-01-65018-D	0.11902	SUR	1	1	2024-04-03
FESH	TQBR	ДВМП ао	93.86	10	1.0	A	Т+: Акции и ДР - безадрес.	2	ДВ морское пароходство ПАО ао	None	FNDT	EQIN	None	0.01	93.93	SUR	2024-04-01	2951250000	RU0008992318	DVMP ao	1-03-00032-A	93.7	SUR	1	2	2024-04-03
FIVE	TQBR	FIVE-гдр	2832.5	1	0.0	A	Т+: Акции и ДР - безадрес.	1	ГДР X5 RetailGroup N.V.ORD SHS	None	FNDT	EQIN	None	0.5	2939.5	USD	2024-04-01	271572872	US98387E2054	GDR X5 RetailGroup N.V.ORD SHS	None	2870.0	SUR	D	1	2024-04-03
FIXP	TQBR	FIXP-гдр	313.9	1	0.0	A	Т+: Акции и ДР - безадрес.	1	ГДР FixPrice Group PLC ORD SHS	None	FNDT	EQIN	None	0.1	307.7	USD	2024-04-01	233808388	US33835G2057	GDR FixPrice Group PLC ORD SHS	None	312.5	SUR	D	1	2024-04-03
FLOT	TQBR	Совкомфлот	130.8	10	1.0	A	Т+: Акции и ДР - безадрес.	2	Совкомфлот ао	None	FNDT	EQIN	None	0.01	129.7	SUR	2024-04-01	2374993901	RU000A0JXNU8	Sovcomflot	1-01-10613-A	129.75	SUR	1	1	2024-04-03
GAZC	TQBR	ГАЗКОН-ао	659.0	10	10.0	A	Т+: Акции и ДР - безадрес.	0	ГАЗКОН (ПАО) ао	None	FNDT	EQIN	None	1.0	659.0	SUR	2024-04-01	225381601	RU000A0JQG86	Gazkon ao	1-01-09870-A	659.0	SUR	1	3	2024-04-03
GAZP	TQBR	ГАЗПРОМ ао	158.06	10	5.0	A	Т+: Акции и ДР - безадрес.	2	"""Газпром"" (ПАО) ао"	None	FNDT	EQIN	None	0.01	157.92	SUR	2024-04-01	23673512900	RU0007661625	Gazprom	1-02-00028-A	158.02	SUR	1	1	2024-04-03
GAZS	TQBR	ГАЗ-сервис	839.0	10	10.0	A	Т+: Акции и ДР - безадрес.	0	ГАЗ-сервис (ПАО) ао	None	FNDT	EQIN	None	1.0	839.0	SUR	2024-04-01	206508967	RU000A0JQG78	Gaz-servis ao	1-01-09871-A	839.0	SUR	1	3	2024-04-03
GAZT	TQBR	ГАЗ-Тек ао	1739.0	10	100.0	A	Т+: Акции и ДР - безадрес.	1	ГАЗ-Тек ПАО ао	None	FNDT	EQIN	None	0.5	1739.0	SUR	2024-04-01	471428300	RU000A0JS199	GAZ-Tek PAO ao	1-01-12996-A	1739.0	SUR	1	3	2024-04-03
GCHE	TQBR	ЧеркизГ-ао	5425.0	1	0.01	A	Т+: Акции и ДР - безадрес.	1	Группа Черкизово ПАО-ао	None	FNDT	EQIN	None	0.5	5390.0	SUR	2024-04-01	42222042	RU000A0JL4R1	Cherkizovo Group ao	1-02-10797-A	5425.0	SUR	1	3	2024-04-03
GECO	TQBR	iГЕНЕТИКО	48.71	10	0.01	A	Т+: Акции и ДР - безадрес.	3	ЦГРМ ГЕНЕТИКО ао	None	FNDT	EQIN	None	0.01	48.37	SUR	2024-04-01	83000000	RU000A105BN4	GENETICO	1-01-87198-H	48.71	SUR	1	3	2024-04-03
GEMA	TQBR	iММЦБ ао	176.65	10	0.01	A	Т+: Акции и ДР - безадрес.	2	ПАО ММЦБ ао	None	FNDT	EQIN	None	0.05	176.65	SUR	2024-04-01	14929920	RU000A100GC7	IMCB PJSC	1-01-85932-H	176.65	SUR	1	3	2024-04-03
GEMC	TQBR	МКПАО ЮМГ	931.0	1	0.03721404	A	Т+: Акции и ДР - безадрес.	1	Юнайтед Медикал Груп ПАО	None	FNDT	EQIN	None	0.1	933.9	SUR	2024-04-01	90000000	RU000A107JE2	IPJSC UMG	1-01-16774-A	931.0	SUR	1	1	2024-04-03
GLTR	TQBR	GLTR-гдр	740.3	1	0.0	A	Т+: Акции и ДР - безадрес.	2	ГДР Globaltrans Invest ORD SHS	None	FNDT	EQIN	None	0.05	720.5	USD	2024-04-01	102129860	US37949E2046	GDR Globaltrans Inves ORD SHS	None	728.55	SUR	D	1	2024-04-03
GMKN	TQBR	ГМКНорНик	15054.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	"ГМК ""Нор.Никель"" ПАО ао"	None	FNDT	EQIN	None	2.0	15140.0	SUR	2024-04-01	152863397	RU0007288411	NorNickel GMK	1-01-40155-F	15054.0	SUR	1	1	2024-04-03
GTRK	TQBR	ГТМ ао	457.0	10	100.0	A	Т+: Акции и ДР - безадрес.	2	"ПАО ""ГТМ"" ао"	None	FNDT	EQIN	None	0.1	457.1	SUR	2024-04-01	58462120	RU000A0ZYD22	GTM	1-01-84907-H	461.0	SUR	1	3	2024-04-03
HHRU	TQBR	iHHRU-адр	4365.0	1	0.0	A	Т+: Акции и ДР - безадрес.	0	АДР HeadHunter Group ORD SHS	None	FNDT	EQIN	None	1.0	4350.0	USD	2024-04-01	50635720	US42207L1061	ADR HeadHunter Group ORD SHS	None	4365.0	SUR	D	1	2024-04-03
HIMCP	TQBR	Химпром ап	32.88	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Химпром ПАО ап	None	FNDT	EQIN	None	0.02	32.54	SUR	2024-04-01	229631402	RU0009099006	Himprom ap	2-01-55076-D	32.88	SUR	2	3	2024-04-03
HNFG	TQBR	ХЭНДЕРСОН	703.1	1	50.0	A	Т+: Акции и ДР - безадрес.	1	ХЭНДЕРСОН ао	None	FNDT	EQIN	None	0.1	716.3	SUR	2024-04-01	40444445	RU000A106XF2	HENDERSON	1-01-03109-G	703.1	SUR	1	2	2024-04-03
HYDR	TQBR	РусГидро	0.726	1000	1.0	A	Т+: Акции и ДР - безадрес.	4	"ПАО ""РусГидро"""	None	FNDT	EQIN	None	0.0001	0.724	SUR	2024-04-01	444793377038	RU000A0JPKH7	RusGidro	1-01-55038-E	0.7257	SUR	1	1	2024-04-03
IGST	TQBR	Ижсталь2ао	12240.0	1	1000.0	A	Т+: Акции и ДР - безадрес.	0	Ижсталь ПАО ао 2в.	None	FNDT	EQIN	None	20.0	12120.0	SUR	2024-04-01	800729	RU0002155292	Izhstal 2ao	1-02-30078-D	12240.0	SUR	1	3	2024-04-03
IGSTP	TQBR	Ижсталь ап	8630.0	1	1000.0	A	Т+: Акции и ДР - безадрес.	0	Ижсталь ПАО ап	None	FNDT	EQIN	None	10.0	8650.0	SUR	2024-04-01	266910	RU0002155300	Izhstal ap	2-02-30078-D	8630.0	SUR	2	3	2024-04-03
INGR	TQBR	ИНГРАД ао	1867.0	1	1000.0	A	Т+: Акции и ДР - безадрес.	0	ИНГРАД ПАО ао	None	FNDT	EQIN	None	1.0	1864.0	SUR	2024-04-01	41220793	RU000A0DJ9B4	INGRAD	1-01-50020-A	1867.0	SUR	1	3	2024-04-03
IRAO	TQBR	ИнтерРАОао	4.205	100	2.809767	A	Т+: Акции и ДР - безадрес.	4	"""Интер РАО"" ПАО ао"	None	FNDT	EQIN	None	0.0005	4.158	SUR	2024-04-01	104400000000	RU000A0JPNM1	Inter RAO ao	1-04-33498-E	4.1775	SUR	1	1	2024-04-03
IRKT	TQBR	Яковлев-3	74.85	100	3.0	A	Т+: Акции и ДР - безадрес.	2	"""Яковлев"" ПАО ак.об.-3"	None	FNDT	EQIN	None	0.05	73.35	SUR	2024-04-01	11686422311	RU0006752979	Yakovlev-3	1-03-00040-A	73.65	SUR	1	3	2024-04-03
JNOS	TQBR	Славн-ЯНОС	28.1	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Славнефть-ЯНОС (ПАО) ао	None	FNDT	EQIN	None	0.05	28.0	SUR	2024-04-01	932654723	RU0009100895	Slavneft-JANOS	1-01-00199-A	28.1	SUR	1	3	2024-04-03
JNOSP	TQBR	Слав-ЯНОСп	16.8	100	1.0	A	Т+: Акции и ДР - безадрес.	2	Славнефть-ЯНОС (ПАО) ап	None	FNDT	EQIN	None	0.02	16.72	SUR	2024-04-01	310884574	RU0009101927	Slavneft-JANOS (pref)	2-01-00199-A	17.0	SUR	2	3	2024-04-03
KAZT	TQBR	Куйбазот	665.0	10	1.0	A	Т+: Акции и ДР - безадрес.	1	Куйбышевазот ПАО ао	None	FNDT	EQIN	None	0.2	675.2	SUR	2024-04-01	234147999	RU000A0B9BV2	Kuib.Azot ao	1-01-00067-A	665.0	SUR	1	3	2024-04-03
KAZTP	TQBR	Куйбазот-п	729.0	10	1.0	A	Т+: Акции и ДР - безадрес.	1	Куйбышевазот ПАО ап	None	FNDT	EQIN	None	0.5	745.0	SUR	2024-04-01	3696506	RU000A0B9BW0	Kuibishevazot ap	2-01-00067-A	729.0	SUR	2	3	2024-04-03
KBSB	TQBR	ТНСэКубань	685.0	10	0.56	A	Т+: Акции и ДР - безадрес.	1	ТНС энерго Кубань ПАО ао	None	FNDT	EQIN	None	0.5	689.5	SUR	2024-04-01	17869440	RU000A0JNJ11	TNS energo Kuban Company	1-01-55218-E	682.5	SUR	1	3	2024-04-03
KCHE	TQBR	КамчатЭ ао	0.806	10000	0.1	A	Т+: Акции и ДР - безадрес.	3	Камчатскэнерго ПАО ао	None	FNDT	EQIN	None	0.001	0.799	SUR	2024-04-01	58294409860	RU0006753498	Kamchatskenergo	1-02-00235-A	0.797	SUR	1	3	2024-04-03
KCHEP	TQBR	КамчатЭ ап	1.525	10000	0.1	A	Т+: Акции и ДР - безадрес.	3	Камчатскэнерго ПАО ап	None	FNDT	EQIN	None	0.005	1.535	SUR	2024-04-01	183062052	RU0006753480	Kamchatskenergo (pref)	2-02-00235-A	1.525	SUR	2	3	2024-04-03
KGKC	TQBR	КурганГКао	53.6	10	7.2	A	Т+: Акции и ДР - безадрес.	1	Курганская генер.комп.ПАО ао	None	FNDT	EQIN	None	0.2	53.8	SUR	2024-04-01	122453406	RU000A0JP120	Kurganskaja Gener.Kompanija	1-01-55226-E	53.6	SUR	1	3	2024-04-03
KGKCP	TQBR	КурганГКап	51.6	10	7.2	A	Т+: Акции и ДР - безадрес.	1	Курганская генер. комп. ПАО ап	None	FNDT	EQIN	None	0.2	51.2	SUR	2024-04-01	14393052	RU000A0JP138	Kurganskaja Gener.Kompanija ap	2-01-55226-E	51.6	SUR	2	3	2024-04-03
KLSB	TQBR	КалужскСК	32.42	100	0.2	A	Т+: Акции и ДР - безадрес.	2	"ао""Калужская сбыт.комп.""ПАО"	None	FNDT	EQIN	None	0.01	32.15	SUR	2024-04-01	91487347	RU000A0DKZK3	Kalugsk. Sbyt. Company ao	1-01-65057-D	32.42	SUR	1	3	2024-04-03
KLVZ	TQBR	Кристалл	8.131	100	0.01	A	Т+: Акции и ДР - безадрес.	3	Алкогольная Группа Кристалл	None	FNDT	EQIN	None	0.001	8.153	SUR	2024-04-01	921052700	RU000A107KX0	KLVZ KRISTALL	1-01-05421-G	8.131	SUR	1	3	2024-04-03
KMAZ	TQBR	КАМАЗ	184.1	10	50.0	A	Т+: Акции и ДР - безадрес.	1	КАМАЗ ПАО	None	FNDT	EQIN	None	0.1	181.3	SUR	2024-04-01	707229559	RU0008959580	KAMAZ	1-08-55010-D	180.8	SUR	1	2	2024-04-03
KMEZ	TQBR	КМЗ	1822.0	1	250.0	A	Т+: Акции и ДР - безадрес.	0	Ковровский механический завод	None	FNDT	EQIN	None	2.0	1860.0	SUR	2024-04-01	3764600	RU0006753613	Kovrov Mech. Zavod	1-02-05376-A	1822.0	SUR	1	3	2024-04-03
KOGK	TQBR	КоршГОК ао	54800.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Коршуновский ГОК ПАО ао	None	FNDT	EQIN	None	200.0	53600.0	SUR	2024-04-01	250126	RU0002155359	Korshunovskii GOK	1-01-20992-F	54600.0	SUR	1	3	2024-04-03
KRKN	TQBR	СаратНПЗ	12900.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Саратовский НПЗ ПАО ао	None	FNDT	EQIN	None	50.0	12850.0	SUR	2024-04-01	748012	RU0009100408	Saratovskiy NPZ ao	1-01-00248-A	12900.0	SUR	1	3	2024-04-03
KRKNP	TQBR	СаратНПЗ-п	12160.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Саратовский НПЗ ПАО ап	None	FNDT	EQIN	None	20.0	12100.0	SUR	2024-04-01	249337	RU0009100416	Saratovskiy NPZ ap	2-01-00248-A	12160.0	SUR	2	3	2024-04-03
KRKOP	TQBR	ТКЗКК ап	15.76	100	1.0	A	Т+: Акции и ДР - безадрес.	2	ТКЗ Красный котельщик ПАО ап	None	FNDT	EQIN	None	0.02	15.88	SUR	2024-04-01	71086000	RU0009098131	TKZ Krasny Kotelshchik ap	2-01-30301-E	15.76	SUR	2	3	2024-04-03
KROT	TQBR	КрасОкт-ао	2515.0	10	1.0	A	Т+: Акции и ДР - безадрес.	0	"""КрасныйОктябрь"" ПАО - ао"	None	FNDT	EQIN	None	1.0	2503.0	SUR	2024-04-01	9217583	RU0008913850	KrasnyiOctyabr	1-02-00060-A	2515.0	SUR	1	3	2024-04-03
KROTP	TQBR	КрасОкт-1п	600.0	10	1.0	A	Т+: Акции и ДР - безадрес.	0	КрасныйОктябрь-1п	None	FNDT	EQIN	None	1.0	601.0	SUR	2024-04-01	1474549	RU0008913868	KrasnyiOctabr-1(pr)	2-01-00060-A	600.0	SUR	2	3	2024-04-03
KRSB	TQBR	Красэсб ао	19.54	100	0.02	A	Т+: Акции и ДР - безадрес.	2	Красноярскэнергосбыт ао	None	FNDT	EQIN	None	0.02	19.52	SUR	2024-04-01	596039612	RU000A0HMLY1	Krashojarskenergosbyt	1-01-55147-E	19.42	SUR	1	3	2024-04-03
KRSBP	TQBR	Красэсб ап	19.52	100	0.02	A	Т+: Акции и ДР - безадрес.	2	Красноярскэнергосбыт ап	None	FNDT	EQIN	None	0.02	19.62	SUR	2024-04-01	168993328	RU000A0HMLZ8	Krashojarskenergosbyt pref.	2-01-55147-E	19.48	SUR	2	3	2024-04-03
KUBE	TQBR	РСетКубань	404.2	10	100.0	A	Т+: Акции и ДР - безадрес.	1	"""Россети Кубань"" ПАО"	None	FNDT	EQIN	None	0.2	402.6	SUR	2024-04-01	334657837	RU0009046767	Rosseti Kuban	1-02-00063-A	404.2	SUR	1	3	2024-04-03
