SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
TASB	TQBR	ТамбЭнСб	2.408	1000	0.02	A	Т+: Акции и ДР - безадрес.	3	"ао""Тамбов.энергсбыт.комп.""ПАО"	None	FNDT	EQIN	None	0.002	2.422	SUR	2024-04-01	1525986880	RU000A0D8NG8	Tambov EnergoSbyt Company	1-01-65100-D	2.408	SUR	1	3	2024-04-03
TASBP	TQBR	ТамбЭнСб-п	1.342	10000	0.02	A	Т+: Акции и ДР - безадрес.	3	"ап""Тамбов.энергсбыт.комп.""ПАО"	None	FNDT	EQIN	None	0.002	1.35	SUR	2024-04-01	217961420	RU000A0D8NH6	Tambov EnergoSbyt Comp. (pref)	2-01-65100-D	1.342	SUR	2	3	2024-04-03
TATN	TQBR	Татнфт 3ао	711.5	1	1.0	A	Т+: Акции и ДР - безадрес.	1	"ПАО ""Татнефть"" ао"	None	FNDT	EQIN	None	0.1	705.6	SUR	2024-04-01	2178690700	RU0009033591	Tatneft-3	1-03-00161-A	710.4	SUR	1	1	2024-04-03
TATNP	TQBR	Татнфт 3ап	711.1	1	1.0	A	Т+: Акции и ДР - безадрес.	1	"ПАО ""Татнефть"" ап 3 вып."	None	FNDT	EQIN	None	0.1	705.3	SUR	2024-04-01	147508500	RU0006944147	Tatneft (pref)	2-03-00161-A	710.3	SUR	2	1	2024-04-03
TCSG	TQBR	ТКСХолд ао	3205.0	1	3.639384	A	Т+: Акции и ДР - безадрес.	1	ТКС Холдинг МКПАО ао	None	FNDT	EQIN	None	0.5	3199.0	SUR	2024-04-01	199305492	RU000A107UL4	IPJSC TCS Holding	1-01-16784-A	3205.5	SUR	1	1	2024-04-03
TGKA	TQBR	ТГК-1	0.009234	100000	0.01	A	Т+: Акции и ДР - безадрес.	6	"ао ПАО ""ТГК-1"""	None	FNDT	EQIN	None	2e-06	0.009222	SUR	2024-04-01	3854341416571	RU000A0JNUD0	TGK-1	1-01-03388-D	0.009226	SUR	1	1	2024-04-03
TGKB	TQBR	ТГК-2	0.01343	1000000	0.01	A	Т+: Акции и ДР - безадрес.	6	"ао ПАО ""ТГК-2"""	None	FNDT	EQIN	None	5e-06	0.01349	SUR	2024-04-01	1458404850747	RU000A0JNGS7	TGK-2	1-01-10420-A	0.01343	SUR	1	3	2024-04-03
TGKBP	TQBR	ТГК-2 ап	0.0202	100000	0.01	A	Т+: Акции и ДР - безадрес.	5	"ап ПАО ""ТГК-2"""	None	FNDT	EQIN	None	1e-05	0.01951	SUR	2024-04-01	16500533681	RU000A0JNGT5	TGK-2 pref	2-01-10420-A	0.0202	SUR	2	3	2024-04-03
TGKN	TQBR	ТГК-14	0.01418	100000	0.001	A	Т+: Акции и ДР - безадрес.	5	"ао ПАО ""ТГК-14"""	None	FNDT	EQIN	None	1e-05	0.01413	SUR	2024-04-01	1357945609114	RU000A0H1ES3	TGK-14	1-01-22451-F	0.01418	SUR	1	2	2024-04-03
TNSE	TQBR	ТНСэнрг ао	3570.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	"ПАО ГК ""ТНС энерго"" ао"	None	FNDT	EQIN	None	5.0	3610.0	SUR	2024-04-01	13668239	RU000A0JUCQ5	"PAO GK ""TNS energo"" ao"	1-01-15521-A	3570.0	SUR	1	3	2024-04-03
TORS	TQBR	ТРК ао	0.91	10000	0.4916	A	Т+: Акции и ДР - безадрес.	3	"ао ""Томская распределит.комп."""	None	FNDT	EQIN	None	0.002	0.912	SUR	2024-04-01	3819315580	RU000A0ETZF2	Tomsk raspredelit. komp ao	1-01-50128-A	0.91	SUR	1	3	2024-04-03
TORSP	TQBR	ТРК ап	0.51	10000	0.4916	A	Т+: Акции и ДР - безадрес.	4	"ап ""Томская распределит.комп."""	None	FNDT	EQIN	None	0.001	0.519	SUR	2024-04-01	576693000	RU000A0ETZM8	Tomsk raspredelit. komp ap	2-01-50128-A	0.511	SUR	2	3	2024-04-03
TRMK	TQBR	ТМК ао	220.68	10	10.0	A	Т+: Акции и ДР - безадрес.	2	ПАО ТМК	None	FNDT	EQIN	None	0.02	219.42	SUR	2024-04-01	1033135366	RU000A0B6NK6	TMK ao	1-01-29031-H	218.5	SUR	1	2	2024-04-03
TRNFP	TQBR	Транснф ап	1639.5	1	0.01	A	Т+: Акции и ДР - безадрес.	1	Транснефть ПАО акц.пр.	None	FNDT	EQIN	None	0.5	1644.5	SUR	2024-04-01	155487500	RU0009091573	Transneft (pref)	2-01-00206-A	1640.5	SUR	2	1	2024-04-03
TTLK	TQBR	Таттел. ао	1.073	1000	0.1	A	Т+: Акции и ДР - безадрес.	4	"""Таттелеком"" ПАО ао"	None	FNDT	EQIN	None	0.0005	1.071	SUR	2024-04-01	20843976400	RU000A0HM5C1	Tattelekom	1-02-50049-A	1.073	SUR	1	3	2024-04-03
TUZA	TQBR	ТЗА ао	285.5	10	10.0	A	Т+: Акции и ДР - безадрес.	1	Туймаз. завод автобетоновозов	None	FNDT	EQIN	None	0.5	290.5	SUR	2024-04-01	8220000	RU000A0HL7A2	Tuimaz. Zavod Avtobetonovozov	1-01-30455-D	285.5	SUR	1	3	2024-04-03
UGLD	TQBR	ЮГК	0.949	1000	0.001	A	Т+: Акции и ДР - безадрес.	4	ЮГК	None	FNDT	EQIN	None	0.0001	0.9445	SUR	2024-04-01	212827273000	RU000A0JPP37	UGC	1-02-33010-D	0.949	SUR	1	2	2024-04-03
UKUZ	TQBR	ЮжКузб. ао	1668.0	1	0.04	A	Т+: Акции и ДР - безадрес.	0	Южный Кузбасс ПАО ао	None	FNDT	EQIN	None	2.0	1698.0	SUR	2024-04-01	36149002	RU0005294775	Uzhnyi Kuzbass	1-02-10591-F	1668.0	SUR	1	3	2024-04-03
UNAC	TQBR	iАвиастКао	1.4015	1000	0.27	A	Т+: Акции и ДР - безадрес.	4	Об.авиастр.корп. ПАО ао	None	FNDT	EQIN	None	0.0005	1.39	SUR	2024-04-01	532939780119	RU000A0JPLZ7	Ob.aviastroitelnaya korp.	1-02-55306-E	1.3875	SUR	1	3	2024-04-03
